media.id,created_time,type,likes.count,comments.count,user.id,user.username,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,tag69,tag70,tag71,tag72,tag73,tag74,tag75,tag76,tag77,tag78,tag79,tag80,tag81
1397651186739651815_1505785615,6:30am 12/04/2016,image,2,0,1505785615,rosekhns2,커피 ,부천 ,상동 ,주말 ,꿀주말 ,오후 ,주말도알차게 ,인친 ,맞팔 ,소통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651177629646942_1284586820,6:30am 12/04/2016,image,2,0,1284586820,jjihunj,instadaily ,ootd ,오오티디 ,전신샷 ,주말 ,커피 ,오랜만에 ,휴식 ,카페 ,기분좋다 ,힐링 ,일상 ,데일리 ,daily ,데일리룩 ,인스타그램 ,셀스타그램 ,얼스타그램 ,셀기꾼 ,팔로미 ,팔로우 ,f4f ,맞팔 ,소통 ,소통해요 ,셀카쟁이 ,셀카 ,셀피 ,selca ,selfie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651163889023500_497788914,6:30am 12/04/2016,image,0,0,497788914,lemondld,빈브라더스 ,빈브라더스합정 ,커피 ,카페스타그램 ,합정카페 ,카페합정동 ,합정동 ,홍대 ,라떼 ,레몬케이크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651127902024685_3494335593,6:30am 12/04/2016,image,5,0,3494335593,missluckybrownie,?? ,??日記 ,下午茶 ,紙膠帶 ,早午餐 ,?? ,手稿 ,拉花 ,手帳 ,december ,christmas ,cupcakes ,coffee ,schedule ,아침 ,일요일 ,그림 ,라떼 ,사랑 ,커피 ,check ,日曜日 ,週末 ,クリスマス ,プレゼント ,? ,2017,キャラメル ,文具房 ,크리스마스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651121887083264_2241138818,6:30am 12/04/2016,image,7,0,2241138818,chadolllllll,청담 ,미키마우스 ,셀피 ,여유 ,아메리카노 ,동그란안경 ,맞팔환영 ,셀스타그램 ,얼스타그램 ,셀기꾼 ,선팔환영 ,환영 ,댓글 ,일상 ,데일리 ,좋아요 ,오후 ,daily ,셀카 ,소통 ,커피 ,낮잠 ,윙크 ,일상타그램 ,맞팔 ,선팔 ,팔로우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651121325331401_1702725812,6:30am 12/04/2016,image,6,0,1702725812,ayoontjhh,주말 ,커피 ,picture ,사진 ,패셔니스타 ,귀요미 ,육아스타그램 ,애스타그램 ,딸 ,아들 ,남매스타그램 ,베이비 ,인스타베이비 ,셀카 ,거울셀카 ,일상 ,일상스타그램 ,데일리 ,인스타그램 ,소통 ,좋아요 ,럽스타그램 ,나들이 ,세젤귀 ,세젤예 ,홈스타그램 ,집스타그램 ,인테리어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651112828115870_985387195,6:30am 12/04/2016,image,1,0,985387195,leecheol00,장거리운전 ,필수 ,커피 ,아메리카노 ,대천 ,왕복7시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651054283682796_38489510,6:30am 12/04/2016,image,3,0,38489510,ceci_the_coffeeholic,coffee ,coffeeholic ,coffeegeek ,cecithecoffeeholic ,ceci食遊記 ,baristalife ,barista ,hkbarista ,travel ,seoul ,wanderlust ,specialtycoffee ,alegriacoffeeroasters ,커피 ,바리스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397651028178779345_4120268246,6:30am 12/04/2016,image,9,0,4120268246,sinwonkyoung8,韓國代購 ,韓國 ,선팔 ,맞팔 ,일상 ,커피 ,삼청동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397650999975699037_361349405,6:30am 12/04/2016,image,3,0,361349405,r0ckhare,홍대커피 ,홍대커피숍 ,홍대메가커피 ,아이스아메리카노 ,커피스타그램 ,커피 ,feelcad ,feelca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
