i,follower,userid
275,208,2076374184
276,834,761017879
269,334,3013747101
262,233,535919660
273,47,3578634375
256,250,1385198426
251,23,4199201214
286,,3465662016
270,1405,1634869325
290,212,2272150479
255,315,990907443
265,1523,1329937795
252,191,2031707752
261,2163,2223554146
281,403,1451945863
288,413,3122581715
254,187,1360241694
272,,1297169926
253,1531,1526053190
268,176,3412602888
282,1757,2158575253
277,1369,311180494
263,701,355414793
1151,252,3663843243
1183,1688,3214727302
1186,1071,1423699546
1190,,1254643437
1168,1107,211204976
1175,119,1769613917
1174,333,1366303633
1152,726,626397743
1189,125,1671668762
1165,129,3997382366
1162,353,1291806132
1194,2678,3192641695
1155,448,553057070
1176,,453601429
1193,393,1520888820
1179,2244,1367883214
1184,1300,3249425869
1187,863,3550953508
1170,310,3573581245
1195,281,1664398588
1181,628,3595440455
1808,28,1818445100
1831,344,3289346494
1803,240,454741317
1813,98,976940702
1814,79,1511789193
1843,147,338046407
1846,82,1525652724
1842,114,4161407243
1837,38,4084336298
1816,46,3179807298
1817,78,3605504728
1839,164,2255848322
1823,598,1450779643
1835,35,4018350919
1834,668,3959181519
1830,77,1705963109
1845,463,1430713349
1832,1333,1531914183
1833,471,1967034798
1818,63,3945691367
1822,90,4173546
1807,96,4008975275
2269,,4223000711
2265,45,413584589
2264,137,3553594283
2254,3056,3021522046
2293,72,1358414551
2253,48,3447480724
2297,363,4273904
2277,463,144420595
2250,357,1449310445
2286,183,232395371
2291,143,1264212842
2282,430,1551143286
2256,247,409185451
2299,338,477297915
2257,71,3223471266
2279,418,430266176
2284,420,3403905906
2255,,1020805
2292,140,1359804370
2251,144,2341951118
2289,416,1294410555
2290,2658,1476705413
2262,116,1690203254
2273,362,337579644
2506,,1317530805
2546,,1431486442
2503,,1317530805
2534,208,2315545746
2524,22,1727114101
2521,96,1594530272
2540,94,1390721338
2541,168,1729959991
2515,73,3089820523
2536,123,1056954351
2516,143,1164931902
2533,62,4030669903
2537,,1815544818
2542,92,3930628490
2508,222,1690331198
2517,165,47294399
2518,547,1377019421
2538,524,2676542013
2523,177,1502438650
2519,198,1450294165
2513,630,1052479522
2543,64,1765898249
2510,157,1315612278
2511,882,1417632769
2539,187,3114255872
86,244,231140685
172,244,231140685
1423,340,1204462921
2339,18,3690052150
172,244,231140685
2757,530,1672246545
1483,1451,1521786577
1474,104,1957107672
